Feature,Importance
Target_Value,0.50910646
Channel_Type_enc,0.23128414
MRP,0.11375166
Cost_Price,0.08353683
Rolling_3,0.020725485
Distributor_Price,0.011905023
Outlet_Type_enc,0.0099692345
Target_Gap,0.004389237
Sales_Lag_1,0.0032634044
Achievement_Pct,0.0031609891
Achievement_Ratio,0.0017892387
SBU_enc,0.0008389988
Rolling_7,0.0007001679
Category_enc,0.000480995
SKU_Code_enc,0.0004446708
Sales_Lag_3,0.00033319835
Rolling_14,0.00027845692
Gross_Margin_Pct,0.00027274314
Rolling_30,0.0002557001
Sales_Lag_30,0.00025266258
Discount_Pct,0.000246795
Beat_Name_enc,0.00024004448
Month_Cos,0.00022443036
Day_Num,0.00021807522
Sales_Lag_21,0.00021805124
Sales_Lag_14,0.00021116184
Sales_Lag_7,0.00018450081
DS_Type_enc,0.0001790165
Zone_enc,0.00017874013
Rolling_21,0.00016968421
Month_Sin,0.00016404346
Payment_Status_enc,0.00014493863
Payment_Mode_enc,0.00013983854
City_enc,0.00013107926
Week_Num,0.00012885562
Month_Number,0.00010305984
Quarter_Num,9.980719e-05
Tier_enc,9.829421e-05
Year,9.062341e-05
Distributor_Margin_Pct,8.965624e-05
Delivery_Status_enc,0.0
