Epoch,Train_Loss,Val_Loss
1,0.2685433328151703,0.225218266248703
2,0.07840321958065033,0.06587529182434082
3,0.04402386397123337,0.060112081468105316
4,0.04118027165532112,0.07307682931423187
5,0.0373196117579937,0.05853884667158127
6,0.03129904717206955,0.05861202999949455
7,0.033522505313158035,0.06109394505620003
8,0.03234166279435158,0.059949181973934174
9,0.030483543872833252,0.05770568177103996
10,0.03701544180512428,0.06314884126186371
11,0.034743763506412506,0.06296756863594055
12,0.03195885196328163,0.05750510096549988
13,0.03168610855937004,0.06468260288238525
14,0.03463916480541229,0.05904299020767212
15,0.035331595689058304,0.058826744556427
16,0.03240879625082016,0.06922577321529388
17,0.03611185774207115,0.05688657611608505
18,0.03657778352499008,0.06245017051696777
19,0.03938678652048111,0.06320986896753311
20,0.03519860655069351,0.060584329068660736
21,0.03241253271698952,0.06440570950508118
22,0.03599211573600769,0.05681721493601799
23,0.033897776156663895,0.06431790441274643
24,0.031836092472076416,0.0588444247841835
25,0.03363826125860214,0.06178518012166023
26,0.03432092443108559,0.05727780982851982
27,0.03001442551612854,0.059301722794771194
28,0.03327363356947899,0.061621882021427155
29,0.028254088014364243,0.057978712022304535
30,0.034416165202856064,0.057633914053440094
31,0.03418711945414543,0.06934710592031479
32,0.0337141677737236,0.05670803785324097
33,0.031200362369418144,0.059961844235658646
34,0.031209861859679222,0.06543804705142975
35,0.031719569116830826,0.05694250017404556
36,0.03343156725168228,0.05908618122339249
37,0.033539894968271255,0.06060362979769707
38,0.03611798956990242,0.05942155048251152
39,0.037042245268821716,0.06205266714096069
40,0.031022002920508385,0.05967500060796738
41,0.03713573142886162,0.05919607728719711
42,0.03136191889643669,0.06562383472919464
43,0.03110109642148018,0.05805199220776558
44,0.030262840911746025,0.057895541191101074
45,0.0385143905878067,0.06330978870391846
46,0.032006051391363144,0.06063743680715561
47,0.03126690164208412,0.06323158740997314
